header,date,section,url
"Senate; Congressional Record Vol. 169, No. 214",2024-01-02,senate-section,https://www.congress.gov/congressional-record/volume-169/issue-214/senate-section/article/S6087-1
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 169, No. 214",2024-01-02,senate-section,https://www.congress.gov/congressional-record/volume-169/issue-214/senate-section/article/S6087-2
"ADJOURNMENT UNTIL WEDNESDAY, JANUARY 3, 2024; Congressional Record Vol. 169, No. 214",2024-01-02,senate-section,https://www.congress.gov/congressional-record/volume-169/issue-214/senate-section/article/S6087-3
"Senate; Congressional Record Vol. 170, No. 1",2024-01-03,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-1/senate-section/article/S1-8
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 170, No. 1",2024-01-03,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-1/senate-section/article/S1-9
"NOMINATIONS RETURNED TO THE PRESIDENT; Congressional Record Vol. 170, No. 1",2024-01-03,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-1/senate-section/article/S1-10
"ADJOURNMENT UNTIL FRIDAY, JANUARY 5, 2024, AT 10 A.M.; Congressional Record Vol. 170, No. 1",2024-01-03,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-1/senate-section/article/S2-1
"Senate; Congressional Record Vol. 170, No. 2",2024-01-05,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-2/senate-section/article/S3-9
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 170, No. 2",2024-01-05,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-2/senate-section/article/S3-10
"ADJOURNMENT UNTIL MONDAY, JANUARY 8, 2024, AT 3 P.M.; Congressional Record Vol. 170, No. 2",2024-01-05,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-2/senate-section/article/S3-11
"House of Representatives; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-2
"Senate; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-3
"PRAYER; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-4
"PLEDGE OF ALLEGIANCE; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-5
"APPOINTMENT OF ACTING PRESIDENT PRO TEMPORE; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-6
"RESERVATION OF LEADER TIME; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-7
"CONCLUSION OF MORNING BUSINESS; Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-8
"EXECUTIVE CALENDAR (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-9
"Recognition of the Majority Leader (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S5-10
"National Security (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S6-1
"Anniversary of January 6, 2021 (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S6-2
"Recognition of the Minority Leader (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S7-1
"Business Before the Senate (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S7-2
"Immigration (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S7-3
"Remembering Herb Kohl (Executive Session); Congressional Record Vol. 170, No. 3",2024-01-08,senate-section,https://www.congress.gov/congressional-record/volume-170/issue-3/senate-section/article/S8-1
